1.0	A plane is taking off.	Ein Flugzeug hebt ab.
0.76	A man is playing a large flute.	Ein Mann spielt Flöte.
0.76	A man is spreading shreded cheese on a pizza.	Ein Mann verteilt geriebenen Käse auf einer ungekochten Pizza.
0.52	Three men are playing chess.	Zwei Männer spielen Schach.
0.85	A man is playing the cello.	Ein sitzender Mann spielt Cello.
0.85	Some men are fighting.	Zwei Männer kämpfen.
0.1	A man is smoking.	Ein Mann läuft Schlittschuh.
0.32	The man is playing the piano.	Der Mann spielt Gitarre.
0.44	A man is playing on a guitar and singing.	Eine Frau spielt Akustikgitarre und singt.
1.0	A person is throwing a cat on to the ceiling.	Eine Person wirft eine Katze an die Decke.
0.84	The man hit the other man with a stick.	Der Mann schlug den anderen Mann mit einem Stock.
0.92	A woman picks up and holds a baby kangaroo.	Eine Frau nimmt ein Babykänguru in die Arme.
0.7734	A man is playing a flute.	Ein Mann spielt eine Bambusflöte.
0.9334	A person is folding a piece of paper.	Jemand faltet ein Stück Papier.
0.3334	A man is running on the road.	Ein Panda-Hund läuft auf der Straße.
0.75	A dog is trying to get bacon off his back.	Ein Hund versucht, den Speck auf dem Rücken zu essen.
1.0	The polar bear is sliding on the snow.	Ein Eisbär rutscht über den Schnee.
0.1	A woman is writing.	Eine Frau schwimmt.
0.76	A cat is rubbing against baby's face.	Eine Katze reibt sich an einem Baby.
1.0	The man is riding a horse.	Ein Mann reitet auf einem Pferd.
0.64	A man pours oil into a pot.	Ein Mann gießt Wein in einen Topf.
0.56	A man is playing a guitar.	Ein Mädchen spielt Gitarre.
0.92	A panda is sliding down a slide.	Ein Panda rutscht eine Rutsche hinunter.
0.6	A woman is eating something.	Eine Frau isst Fleisch.
1.0	A woman peels a potato.	Eine Frau schält eine Kartoffel.
0.96	The boy fell off his bike.	Ein Junge fällt von seinem Fahrrad.
1.0	The woman is playing the flute.	Eine Frau spielt Flöte.
0.84	A rabbit is running from an eagle.	Ein Hase rennt vor einem Adler davon.
0.84	The woman is frying a breaded pork chop.	Eine Frau kocht ein paniertes Schweinekotelett.
0.8	A girl is flying a kite.	Ein rennendes Mädchen fliegt einen Drachen.
0.8	A man is riding a mechanical bull.	Ein Mann ritt einen mechanischen Stier.
0.9818	The man is playing the guitar.	Ein Mann spielt Gitarre.
0.6	A woman is dancing and singing with other women.	Eine Frau tanzt und singt im Regen.
0.48	A man is slicing a bun.	Ein Mann schneidet eine Zwiebel.
0.84	A man is pouring oil into a pan.	Ein Mann gießt Öl in eine Pfanne.
0.68	A lion is playing with people.	Ein Löwe spielt mit zwei Männern.
1.0	A dog rides a skateboard.	Ein Hund reitet ein Skateboard.
0.75	Someone is carving a statue.	Ein Mann schnitzt eine Statue.
0.55	A woman is slicing an onion.	Ein Mann schneidet eine Zwiebel.
1.0	A woman peels shrimp.	Eine Frau schält Garnelen.
0.8	A woman is frying fish.	Eine Frau kocht Fisch.
0.72	A woman is playing an electric guitar.	Eine Frau spielt Gitarre.
0.32	A baby tiger is playing with a ball.	Ein Baby spielt mit einer Puppe.
0.35	A person is slicing a tomato.	Eine Person schneidet etwas Fleisch.
1.0	A person cuts an onion.	Eine Person schneidet eine Zwiebel.
0.2	A man is playing the piano.	Eine Frau spielt Geige.
0.2	A woman is playing the flute.	Ein Mann spielt Gitarre.
0.475	A man is cutting up a potato.	Ein Mann schneidet Karotten.
0.76	A kid is playing guitar.	Ein Junge spielt Gitarre.
0.64	A boy is playing guitar.	Ein Mann spielt Gitarre.
0.64	A man is playing guitar.	Ein Junge spielt Gitarre.
0.88	A little boy is playing a keyboard.	Ein Junge spielt Keyboard.
0.75	A man is playing a guitar.	Ein Mann spielt eine E-Gitarre.
0.95	A dog licks a baby.	Ein Hund leckt ein Baby.
0.64	A woman is slicing an onion.	Ein Mann schneidet und Zwiebel.
0.3112	A man is playing the guitar.	Ein Mann spielt Schlagzeug.
0.7876	A woman is slicing a pepper.	Eine Frau schneidet einen roten Pfeffer.
1.0	A man is playing the drums.	Ein Mann spielt die Trommel.
1.0	A woman rides a horse.	Eine Frau reitet ein Pferd.
0.8	A man is eating a banana by a tree.	Ein Mann isst eine Banane.
0.32	A cat is playing a key board.	Ein Mann spielt zwei Keyboards.
0.95	A man chops down a tree with an axe.	Ein Mann fällte einen Baum mit einer Axt.
0.7	A kid plays with a toy phone.	Ein kleiner Junge spielt mit einem Spielzeugtelefon.
0.28	A man is riding a motorcycle.	Ein Mann reitet ein Pferd.
0.28	A man is riding a motorcycle.	Ein Mann reitet ein Pferd.
0.8	A squirrel is spinning around in circles.	Ein Eichhörnchen läuft im Kreis herum.
1.0	A man and a woman are kissing.	Ein Mann und eine Frau küssen sich.
0.7666	A man is getting into a car.	Ein Mann steigt in einer Garage in ein Auto.
0.12	A man is dancing.	Ein Mann spricht.
0.5834	A man is playing the guitar and singing.	Ein Mann spielt Gitarre.
0.84	A person is cutting mushrooms.	Eine Person schneidet Pilze mit einem Messer.
0.4	A tiger cub is making a sound.	Ein Tiger läuft herum.
0.52	A person is slicing onions.	Eine Person schält eine Zwiebel.
0.32	A man is playing the piano.	Ein Mann spielt Trompete.
0.4	A woman is peeling a potato.	Eine Frau schält einen Apfel.
0.84	A pankda is eating bamboo.	Ein Pandabär frisst etwas Bambus.
0.4	A person is peeling an onion.	Eine Person schält eine Aubergine.
0.96	A monkey pushes another monkey.	Der Affe schob den anderen Affen.
0.88	A squirrel runs around in circles.	Ein Eichhörnchen bewegt sich im Kreis.
1.0	A man is tying his shoe.	Ein Mann bindet seinen Schuh.
0.6	A boy is singing and playing the piano.	Ein Junge spielt Klavier.
0.85	A dog is eating water melon.	Ein Hund frisst ein Stück Wassermelone.
0.85	A woman is chopping broccoli.	Eine Frau hackt Brokkoli mit einem Messer.
0.76	A man is peeling a potato.	Ein Mann schälte eine Kartoffel.
0.48	A woman is playing a guitar.	Ein Mann spielt Gitarre.
0.32	A woman is slicing tomato.	Ein Mann schneidet Zwiebeln.
0.4	A man swims underwater.	Eine Frau schwimmt unter Wasser.
0.32	A man and woman are talking.	Ein Mann und eine Frau essen.
0.8	A small dog is chasing a yoga ball.	Ein Hund jagt einen Ball.
0.44	The men are playing cricket.	Die Männer spielen Basketball.
0.88	A man rides off on a motorcycle.	Ein Mann fährt auf einem Motorrad.
0.72	A man is playing a guitar.	Ein Mann singt und spielt Gitarre.
0.72	The man talked on the telephone.	Der Mann telefoniert.
0.1	A man is fishing.	Ein Mann trainiert.
0.16	A man is levitating.	Ein Mann spricht.
0.12	Two boys are driving.	Zwei Buchten tanzen.
0.52	A man is riding on a horse.	Ein Mädchen reitet ein Pferd.
0.4	A man is riding a bicycle.	Ein Affe fährt Fahrrad.
0.44	A man is slicing potatoes.	Eine Frau schält Kartoffeln.
0.48	A woman is peeling a potato.	Ein Mann schneidet Kartoffeln.
0.72	A man is playing a guitar.	Jemand spielt Gitarre.
0.44	A woman is slicing a leek.	Eine Frau schneidet Ingwer.
0.96	The man cut a paper plate.	Ein Mann schneidet einen Pappteller.
0.3286	The man is playing the guitar.	Ein Mann spielt Flöte.
0.35	A man is playing the piano.	Der Mann spielt Geige.
0.45	A woman is slicing up some meat.	Eine Frau paniert etwas Fleisch.
0.8	A man is playing on his keyboard.	Ein Mann spielt Klavier.
0.96	The lady chopped up the green onions.	Die Dame schnitt eine grüne Zwiebel auf.
0.64	Someone is sitring noodles in water.	Eine Frau kocht Nudeln in Wasser.
0.8	Lionel Richie is dancing on the ceiling.	Lionel Richie tanzt an der Decke.
0.88	A man is playing a piano.	Eine Person spielt Klavier.
0.92	A woman is playing flute.	Eine Frau spielt auf einer Flöte.
0.76	A boy is checking a calender.	Ein Junge schaut auf einen Kalender.
0.96	A woman is cutting an onion.	Eine Frau hackt Zwiebeln.
0.9714	A man is playing guitar.	Ein Mann spielt Gitarre.
1.0	A woman is using a sewing machine.	Eine Frau näht an einer Maschine.
0.5066	A woman is flipping pancakes.	Ein Cartoon-Koch dreht Pfannkuchen um.
0.2	A man is running on the road.	Ein Auto fährt die Straße hinunter.
0.2	A man is riding on a horse.	Ein Mann telefoniert.
0.4	A man is riding a bike.	Ein Mann reitet auf einem Pferd.
0.0286	A woman is dancing.	Ein Mann isst.
0.4	A man is playing a piano.	Ein Mann spielt Flöte.
0.32	A man is playing a flute.	Ein Mann spielt Klavier.
0.32	A man is spinning.	Ein Mann tanzt.
0.68	A monkey is swinging from limb to limb.	Ein Affe schwingt von Baum zu Baum.
0.8	The people got off the train.	Die Leute stiegen am Bahnhof aus dem Zug.
0.96	A dog is jumping on a trampoline.	Ein Hund springt auf einem Trampolin.
0.5	A boy is playing an instrument.	Ein Mann spielt Trompete.
0.35	A woman plays the guitar.	Ein Mann singt und spielt Gitarre.
0.2	A woman is picking a can.	Eine Frau schneidet eine Tomate.
1.0	A man is climbing a rope.	Ein Mann klettert an einem Seil hoch.
0.28	A man is lifting a car.	Ein Mann klettert an eine Wand.
0.8	A man and woman are driving down the street in a jeep.	Ein Mann und eine Frau fahren in einem Freiluftfahrzeug die Straße hinunter.
0.76	The shirtless man sat in a chair.	Ein hemdloser Mann sitzt auf einem Stuhl.
0.8	Two women are wrestling.	Zwei Frauen ringen auf dem Boden.
